Age,Gender,District,Educational_Level,Qualifications,Years_Experience,Languages_Spoken,Care_Category,Care_Service_Type,Preferred_Time,Expected_Salary,Match_Desicion
51,Male,Matara,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",0.9,"Sinhala,English",Elderly care,Looking after,Live-in,42006.0,Accepted
32,Female,Kandy,Diploma,"NVQ Level 3,Diploma in Caregiving",2.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,50502.0,Accepted
47,Male,Colombo,Degree,Short caregiving course,0.8,"Sinhala,English",Elderly care,Looking after,Full-day,71244.0,Accepted
43,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.4,"Sinhala,English",Elderly care,Looking after,Half-day,72567.0,Accepted
29,Female,Colombo,Degree,NVQ Level 3,0.6,"Sinhala,English",Elderly care,All-around,Full-day,73143.0,Accepted
53,Female,Colombo,Degree,Short caregiving course,2.9,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,67618.0,Accepted
32,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English","Elderly care,Patient care",All-around,Half-day,49185.0,Accepted
37,Female,Colombo,Degree,Short caregiving course,3.5,"Sinhala,English","Disability care,Patient care",Looking after,Full-day,66674.0,Accepted
22,Female,Colombo,Diploma,Diploma in Caregiving,3.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,79304.0,Accepted
34,Female,Colombo,Diploma,NVQ Level 3,0.5,Sinhala,Elderly care,Looking after,Full-day,56703.0,Rejected
28,Female,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Full-day,65842.0,Rejected
40,Female,Colombo,Degree,NVQ Level 3,1.3,"Sinhala,English",Child care,Looking after,Full-day,72165.0,Accepted
34,Female,Colombo,Degree,NVQ Level 3,0.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,60010.0,Accepted
24,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Half-day,82557.0,Rejected
49,Female,Colombo,Degree,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Full-day,56672.0,Accepted
37,Female,Colombo,Secondary,NVQ Level 3,1.6,"Sinhala,English",Elderly care,Looking after,Half-day,40092.0,Accepted
44,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,41822.0,Accepted
26,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,38910.0,Accepted
21,Female,Ratnapura,Secondary,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Hourly,16997.0,Rejected
31,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,22243.0,Rejected
26,Female,Colombo,Secondary,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,17609.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,34578.0,Accepted
24,Female,Colombo,Short Course,NVQ Level 3,0.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,44345.0,Accepted
30,Female,Colombo,Degree,NVQ Level 3,0.2,"Sinhala,English",Patient care,All-around,Full-day,32630.0,Rejected
30,Female,Colombo,Degree,NVQ Level 3,1.3,"Sinhala,English","Elderly care,Domestic support",All-around,Half-day,39660.0,Accepted
46,Female,Colombo,Degree,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Half-day,37055.0,Accepted
30,Female,Colombo,Short Course,NVQ Level 3,0.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,21420.0,Accepted
29,Female,Colombo,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.6,"Sinhala,English",Child care,Looking after,Half-day,57610.0,Accepted
27,Female,Kalutara,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,All-around,Full-day,11653.0,Rejected
26,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,57140.0,Rejected
45,Female,Kandy,Degree,"NVQ Level 4,First Aid Certificate,Short caregiving course",1.0,"Sinhala,English","Elderly care,Child care","Looking after, All-around care",Half-day,57631.0,Accepted
46,Female,Colombo,Diploma/Short Course,NVQ Level 3,1.4,"Sinhala,English",Elderly care,Looking after,Full-day,8458.0,Accepted
27,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",3.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,96514.0,Accepted
39,Male,Colombo,Secondary/Diploma,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,49680.0,Accepted
29,Female,Colombo,Diploma,NVQ Level 3,1.2,"Sinhala,English",Elderly care,Looking after,Half-day,76016.0,Accepted
39,Female,Colombo,Degree,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Live-in,70323.0,Rejected
33,Female,Colombo,Degree,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Cooking + looking after,Full-day,59250.0,Rejected
43,Female,Colombo,Short Course,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Full-day,37106.0,Accepted
37,Male,Colombo,Degree,Short caregiving course,1.8,"Sinhala,English",Elderly care,Looking after,Full-day,51208.0,Accepted
38,Female,Colombo,Secondary,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,14530.0,Rejected
26,Female,Colombo,Degree,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,52061.0,Accepted
48,Female,Kandy,Degree,"NVQ Level 4,First Aid Certificate,Short caregiving course",3.8,"Sinhala,English","Elderly care,Child care","Looking after, All-around care",Half-day,72499.0,Accepted
37,Male,Kurunegala,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,52789.0,Accepted
32,Female,Colombo,Degree,NVQ Level 3,0.7,"Sinhala,English",Elderly care,All-around,Full-day,72055.0,Rejected
26,Female,Colombo,Degree,NVQ Level 3,3.1,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,48121.0,Accepted
36,Female,Colombo,Short Course,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Full-day,31374.0,Accepted
26,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,67827.0,Rejected
28,Female,Colombo,Diploma,NVQ Level 3,1.0,"Sinhala,English",Child care,Looking after,Half-day,70980.0,Accepted
32,Female,Colombo,Short Course,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,84067.0,Accepted
29,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,53458.0,Rejected
25,Female,Gampaha,Degree,NVQ Level 3,0.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,22927.0,Accepted
23,Female,Puttalam,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Half-day,13842.0,Rejected
30,Female,Colombo,Diploma,NVQ Level 3,0.4,"Sinhala,English",Patient care,Looking after,Full-day,40478.0,Rejected
26,Female,Ratnapura,Secondary,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,30508.0,Rejected
35,Female,Kurunegala,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.8,"Sinhala,English",Elderly care,Looking after,Half-day,76762.0,Accepted
49,Male,Colombo,Secondary/Short Course,Short caregiving course,1.3,"Sinhala,English",Disability care,Looking after,Full-day,92517.0,Accepted
46,Male,Colombo,Secondary/Short Course,Short caregiving course,3.1,"Sinhala,English",Elderly care,Looking after,Full-day,26001.0,Accepted
33,Female,Colombo,Diploma,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Full-day,36558.0,Rejected
31,Female,Colombo,Diploma,NVQ Level 3,0.6,"Sinhala,English",Patient care,All-around,Full-day,42661.0,Accepted
34,Female,Colombo,Short Course,NVQ Level 3,0.6,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,0.0,Accepted
24,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,63683.0,Accepted
28,Female,Colombo,Degree,NVQ Level 3,0.5,"Sinhala,English","Elderly care,Patient care",All-around,Half-day,63566.0,Accepted
35,Female,Matara,Secondary,NVQ Level 3,1.7,"Sinhala,English","Patient care,Palliative care",Looking after,Hourly,45253.0,Accepted
25,Female,Colombo,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,49773.0,Rejected
31,Female,Galle,Short Course,NVQ Level 3,0.9,"Sinhala,English","Elderly care,Disability care,Patient care,Palliative care,Domestic support",,,175692.0,Accepted
32,Male,Colombo,Diploma,NVQ Level 3,1.3,"Sinhala,English",Elderly care,All-around,Hourly,46673.0,Rejected
28,Female,Colombo,Short Course,Short Course,0.8,"Sinhala,English","Elderly care,Patient care",All-around,Half-day,55583.0,Accepted
42,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.4,"Sinhala,English","Elderly care,Child care",Looking after,Half-day,27411.0,Accepted
36,Female,Kalutara,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.8,"Sinhala,English",Child care,Looking after,Half-day,60856.0,Accepted
27,Female,Colombo,Degree,NVQ Level 3,1.3,"Sinhala,English",Child care,All-around,Full-day,41528.0,Rejected
45,Female,Kandy,Degree,"NVQ Level 3,Diploma in Caregiving",1.5,"Sinhala,English","Elderly care,Child care",Looking after,Half-day,114065.0,Accepted
36,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,50510.0,Accepted
28,Female,Colombo,Diploma,"NVQ Level 4,Diploma in Caregiving",0.7,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,44890.0,Accepted
53,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.2,"Sinhala,English",Elderly care,Looking after,Half-day,38492.0,Accepted
30,Female,Colombo,Short Course,Short caregiving course,1.4,"Sinhala,English","Disability care,Patient care",Looking after,Full-day,73438.0,Accepted
30,Female,Colombo,Degree,NVQ Level 3,2.6,"Sinhala,English",Elderly care,Looking after,Full-day,48401.0,Accepted
44,Male,Kurunegala,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.8,"Sinhala,English",Elderly care,Looking after,Live-in,71572.0,Accepted
25,Female,Colombo,Degree,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Full-day,0.0,Rejected
39,Male,Colombo,Secondary/Short Course,Short caregiving course,3.6,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,42990.0,Accepted
41,Male,Colombo,Degree,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Live-in,23388.0,Accepted
47,Female,Colombo,Degree,NVQ Level 4,1.8,"Sinhala,English",Patient care,Looking after,Full-day,43782.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,All-around,Full-day,44947.0,Rejected
33,Male,Colombo,Secondary/Short Course,Short caregiving course,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,968.0,Accepted
40,Male,Kurunegala,Diploma/Short Course,"NVQ Level 3,Diploma in Caregiving",1.2,"Sinhala,English",Elderly care,Looking after,Half-day,60964.0,Accepted
31,Female,Colombo,Degree,Short caregiving course,3.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,59319.0,Accepted
31,Female,Kalutara,Degree,NVQ Level 3,1.3,"Sinhala,English",Elderly care,Looking after,Half-day,56232.0,Accepted
35,Male,Colombo,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",0.5,"Sinhala,English",Elderly care,Looking after,Full-day,75394.0,Accepted
42,Male,Matara,Secondary/Diploma,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Live-in,54172.0,Accepted
33,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,53175.0,Rejected
46,Male,Colombo,Secondary/Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,11612.0,Accepted
43,Female,Colombo,Degree,Short caregiving course,3.8,"Sinhala,English",Patient care,Looking after,Full-day,71455.0,Accepted
35,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,61908.0,Accepted
34,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,28048.0,Rejected
39,Male,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",2.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,89514.0,Accepted
22,Female,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Patient care,Looking after,Full-day,38061.0,Accepted
29,Female,Colombo,Short Course,NVQ Level 3,1.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,41179.0,Accepted
34,Female,Colombo,Secondary,NVQ Level 3,0.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,47209.0,Accepted
31,Female,Colombo,Degree,NVQ Level 3,0.1,"Sinhala,English",Elderly care,All-around,Full-day,73489.0,Rejected
38,Female,Kalutara,Degree,"NVQ Level 3,Diploma in Caregiving",0.8,"Sinhala,English",Child care,Looking after,Half-day,16333.0,Accepted
37,Female,Colombo,Short Course,Short caregiving course,0.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,33499.0,Accepted
46,Female,Ratnapura,Degree,"NVQ Level 3,Diploma in Caregiving",5.9,"Sinhala,English",Patient care,Looking after,Full-day,110173.0,Accepted
49,Male,Colombo,Secondary/Short Course,Short caregiving course,3.8,"Sinhala,English",Elderly care,Looking after,Live-in,59047.0,Accepted
45,Female,Colombo,Short Course,Short caregiving course,2.7,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,70505.0,Accepted
29,Female,Galle,Degree,NVQ Level 3,2.7,"Sinhala,English",Elderly care,Looking after,Full-day,37879.0,Accepted
29,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,All-around,Full-day,74297.0,Rejected
27,Female,Colombo,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,All-around,Full-day,58505.0,Rejected
57,Male,Colombo,Secondary/Short Course,Short caregiving course,3.2,"Sinhala,English",Elderly care,Looking after,Live-in,53409.0,Accepted
27,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Full-day,22215.0,Rejected
23,Male,Matara,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,59522.0,Rejected
42,Male,Colombo,Degree,Short caregiving course,2.6,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,59706.0,Accepted
42,Female,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",0.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,43603.0,Accepted
32,Male,Galle,Secondary,NVQ Level 3,0.6,"Sinhala,English",Disability care,Looking after,Full-day,36916.0,Accepted
41,Male,Matara,Secondary,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Hourly,14474.0,Accepted
26,Female,Colombo,Degree,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Full-day,38702.0,Accepted
28,Female,Matara,Secondary,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Half-day,16790.0,Rejected
35,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",3.9,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,51109.0,Accepted
38,Female,Colombo,Diploma/Short Course,"NVQ Level 3,Diploma in Caregiving",1.3,"Sinhala,English",Elderly care,Looking after,Half-day,77359.0,Accepted
37,Female,Colombo,Degree,NVQ Level 3,1.3,"Sinhala,English",Patient care,All-around,Full-day,40051.0,Accepted
26,Female,Colombo,Degree,"NVQ Level 3,First Aid Certificate",3.6,"Sinhala,English","Elderly care,Disability care,Patient care",Looking after,Full-day,51266.0,Accepted
30,Female,Colombo,Short Course,NVQ Level 4,0.8,"Sinhala,English",Elderly care,Looking after,Full-day,71574.0,Accepted
37,Male,Galle,Secondary/Short Course,"First Aid Certificate,Diploma in Caregiving,Short caregiving course",1.9,"Sinhala,English",Disability care,Looking after,Full-day,17779.0,Accepted
26,Female,Colombo,Diploma,NVQ Level 4,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,33467.0,Rejected
30,Female,Colombo,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,All-around,Full-day,64349.0,Rejected
25,Female,Ratnapura,Secondary,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Hourly,23389.0,Rejected
28,Female,Colombo,Degree,NVQ Level 3,1.1,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,63031.0,Accepted
41,Female,Colombo,Degree,Short caregiving course,2.1,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,78838.0,Accepted
25,Female,Galle,Diploma,NVQ Level 3,0.0,"Sinhala,English",Patient care,All-around,Half-day,63428.0,Rejected
42,Female,Kurunegala,Secondary,NVQ Level 3,1.2,"Sinhala,English",Elderly care,Looking after,Half-day,77778.0,Accepted
23,Female,Colombo,Degree,NVQ Level 3,0.0,Sinhala,Elderly care,All-around,Full-day,39437.0,Rejected
46,Male,Colombo,Secondary/Short Course,Short caregiving course,3.3,"Sinhala,English",Elderly care,Looking after,Full-day,52909.0,Accepted
33,Female,Colombo,Degree,NVQ Level 3,0.3,"Sinhala,English",Patient care,All-around,Half-day,16247.0,Accepted
38,Male,Colombo,Degree,Short caregiving course,2.5,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,55878.0,Accepted
27,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,83698.0,Rejected
31,Female,Colombo,Short Course,NVQ Level 3,0.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,65539.0,Accepted
27,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,31444.0,Rejected
38,Female,Colombo,Diploma,NVQ Level 3,1.0,"Sinhala,English",Child care,All-around,Full-day,56891.0,Accepted
32,Female,Colombo,Diploma,NVQ Level 4,0.5,"Sinhala,English",Child care,Looking after,Full-day,49656.0,Accepted
20,Female,Kalutara,Diploma,NVQ Level 3,0.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,23691.0,Rejected
28,Female,Colombo,Diploma/Short Course,NVQ Level 3,1.2,"Sinhala,English",Elderly care,Looking after,Half-day,31524.0,Accepted
41,Female,Colombo,Degree,NVQ Level 3,0.9,"Sinhala,English",Patient care,Looking after,Full-day,43221.0,Accepted
22,Female,Kurunegala,Diploma,NVQ Level 3,0.8,"Sinhala,English",Child care,Looking after,Half-day,63789.0,Rejected
28,Female,Colombo,Short Course,NVQ Level 3,0.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,0.0,Accepted
36,Male,Kurunegala,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.0,"Sinhala,English",Elderly care,Looking after,Half-day,34496.0,Accepted
31,Female,Colombo,Degree,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Full-day,81738.0,Accepted
22,Female,Kurunegala,Diploma,NVQ Level 3,0.5,"Sinhala,English",Child care,Looking after,Half-day,15416.0,Rejected
36,Female,Kegalle,Degree,"NVQ Level 3,Diploma in Caregiving",3.5,"Sinhala,English","Elderly care,Disability care,Patient care",Looking after,Full-day,48777.0,Accepted
24,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,All-around,Full-day,54717.0,Rejected
22,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,73105.0,Rejected
26,Female,Colombo,Short Course,"NVQ Level 3,Diploma in Caregiving",0.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,50287.0,Accepted
38,Female,Gampaha,Degree,NVQ Level 3,3.0,"Sinhala,English","Elderly care,Child care,Domestic support",Cooking + looking after,Half-day,114964.0,Accepted
25,Female,Colombo,Short Course,NVQ Level 3,1.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,39747.0,Accepted
25,Female,Kalutara,Degree,NVQ Level 3,1.4,"Sinhala,English",Elderly care,Looking after,Half-day,50617.0,Accepted
54,Female,Colombo,Degree,NVQ Level 3,0.1,"Sinhala,English",Elderly care,All-around,Full-day,25145.0,Accepted
30,Female,Colombo,Short Course,NVQ Level 3,0.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,28464.0,Accepted
26,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,49575.0,Rejected
42,Male,Matara,Secondary/Short Course,Short caregiving course,2.4,"Sinhala,English",Elderly care,Looking after,Full-day,76262.0,Accepted
29,Female,Colombo,Short Course,NVQ Level 3,0.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,76743.0,Accepted
36,Male,Colombo,Degree,NVQ Level 3,2.7,"Sinhala,English",Elderly care,Looking after,Full-day,61010.0,Accepted
24,Female,Colombo,Degree,NVQ Level 3,0.1,"Sinhala,English",Elderly care,All-around,Full-day,32760.0,Accepted
32,Female,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",1.5,"Sinhala,English","Elderly care,Domestic support",All-around,Half-day,31391.0,Accepted
35,Female,Colombo,Degree,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Half-day,59158.0,Accepted
40,Male,Colombo,Degree,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Full-day,77202.0,Rejected
24,Female,Colombo,Diploma,NVQ Level 3,0.7,"Sinhala,English",Child care,Looking after,Full-day,40870.0,Accepted
30,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Child care,Looking after,Half-day,25090.0,Accepted
25,Female,Colombo,Short Course,NVQ Level 4,2.1,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,47935.0,Accepted
50,Male,Colombo,Degree,NVQ Level 3,2.7,"Sinhala,English",Elderly care,Looking after,Full-day,0.0,Accepted
30,Female,Colombo,Degree,NVQ Level 3,0.0,"Sinhala,English",Elderly care,All-around,Full-day,73897.0,Rejected
31,Male,Colombo,Degree,NVQ Level 3,1.4,"Sinhala,English",Elderly care,Looking after,Full-day,51733.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 4,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,58500.0,Rejected
30,Female,Colombo,Degree,NVQ Level 3,0.1,Sinhala,Elderly care,Cooking + looking after,Full-day,55799.0,Rejected
22,Female,Galle,Secondary/Short Course,"First Aid Certificate,Diploma in Caregiving,Short caregiving course",4.2,"Sinhala,English",Disability care,Looking after,Full-day,237.0,Accepted
38,Female,Colombo,Short Course,Short Course,0.2,"Sinhala,English",Elderly care,All-around,Full-day,39777.0,Accepted
26,Female,Colombo,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,All-around,Full-day,60706.0,Rejected
31,Male,Colombo,Diploma/Short Course,"NVQ Level 3,Diploma in Caregiving",1.0,"Sinhala,English",Disability care,Looking after,Full-day,44278.0,Accepted
40,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.5,"Sinhala,English",Elderly care,Looking after,Half-day,49778.0,Accepted
58,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",2.5,"Sinhala,English",Patient care,All-around,Full-day,98156.0,Accepted
35,Female,Colombo,Degree,NVQ Level 3,1.5,"Sinhala,English",Patient care,All-around,Full-day,45565.0,Accepted
39,Male,Colombo,Secondary/Short Course,Short caregiving course,1.8,"Sinhala,English","Disability care,Patient care",Looking after,Full-day,66800.0,Accepted
44,Male,Colombo,Secondary/Short Course,Short caregiving course,2.9,"Sinhala,English",Elderly care,Looking after,Full-day,21789.0,Accepted
29,Female,Colombo,Short Course,Short caregiving course,1.8,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,30970.0,Accepted
32,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Full-day,93582.0,Rejected
29,Male,Colombo,Degree,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,49877.0,Rejected
23,Female,Colombo,Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Half-day,23844.0,Accepted
48,Male,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",2.3,"Sinhala,English",Elderly care,Looking after,Half-day,86402.0,Accepted
30,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,2767.0,Accepted
28,Female,Colombo,Degree,NVQ Level 3,0.7,"Sinhala,English",Elderly care,All-around,Full-day,59030.0,Accepted
34,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,50183.0,Rejected
30,Female,Colombo,Degree,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,11344.0,Rejected
23,Female,Kalutara,Diploma,NVQ Level 3,1.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,26152.0,Accepted
37,Female,Kalutara,Diploma/Short Course,"NVQ Level 3,Diploma in Caregiving",0.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,64669.0,Accepted
30,Female,Colombo,Diploma,NVQ Level 3,0.7,Sinhala,Elderly care,All-around,Full-day,43898.0,Rejected
33,Female,Colombo,Degree,NVQ Level 3,1.1,"Sinhala,English",Child care,All-around,Full-day,73215.0,Accepted
42,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",2.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,45965.0,Accepted
26,Female,Colombo,Short Course,NVQ Level 3,0.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,57094.0,Accepted
39,Male,Colombo,Degree,Short caregiving course,3.3,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,26014.0,Accepted
32,Female,Ratnapura,Diploma,"NVQ Level 3,Diploma in Caregiving",1.1,"Sinhala,English","Elderly care,Child care",Looking after,Half-day,82644.0,Accepted
48,Male,Colombo,Secondary/Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Live-in,40050.0,Accepted
32,Female,Colombo,Short Course,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,27278.0,Accepted
23,Female,Colombo,Diploma,NVQ Level 3,0.4,"Sinhala,English",Patient care,All-around,Full-day,44811.0,Rejected
46,Female,Colombo,Degree,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,41917.0,Accepted
26,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,41805.0,Rejected
30,Female,Colombo,Diploma,Diploma in Caregiving,2.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,82758.0,Accepted
29,Female,Colombo,Short Course,Short Course,0.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,41434.0,Accepted
37,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",4.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,66053.0,Accepted
28,Female,Colombo,Diploma,NVQ Level 3,0.6,"Sinhala,English",Child care,Looking after,Half-day,37842.0,Accepted
57,Female,Colombo,Degree,NVQ Level 3,0.3,"Sinhala,English",Elderly care,All-around,Full-day,35041.0,Accepted
28,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,42862.0,Rejected
